Article Title,Location,Latitude,Longitude
"Atmospheric deposition of nitrogen in a transect from the Central Valley to Cordillera de Los Andes, south-central Chile",Mulpulmo,-40.590278,-72.951944
"Atmospheric deposition of nitrogen in a transect from the Central Valley to Cordillera de Los Andes, south-central Chile",Tijeral,-40.604722,-72.833889
"Atmospheric deposition of nitrogen in a transect from the Central Valley to Cordillera de Los Andes, south-central Chile",Entrelagos,-40.682778,-72.609167
"Atmospheric deposition of nitrogen in a transect from the Central Valley to Cordillera de Los Andes, south-central Chile",La Quema,-40.697222,-72.334444
"Atmospheric deposition of nitrogen in a transect from the Central Valley to Cordillera de Los Andes, south-central Chile",Aguas calientes,-40.775,-72.2625
"Atmospheric deposition of nitrogen in a transect from the Central Valley to Cordillera de Los Andes, south-central Chile",Lago Toro,-40.775278,-72.2625
"Atmospheric deposition of nitrogen in a transect from the Central Valley to Cordillera de Los Andes, south-central Chile","Antillanca, PNP",-40.773889,-72.194444
Seasonal variation and enzymatic potential of microfungi associated with the decomposition of Nothofagus pumilio leaf litter,"Antillanca, PNP",-40.783333,-72.216666
Studies on Chilean lichens XXXI. Additions to the chemistry of Pseudocyphellaria.,,,
Precipitation chemistry in deciduous and evergreen Nothofagus forests of southern Chile under a low-deposition climate,"Antillanca, PNP",-40.783333,-72.216666
"Hydrochemical fluxes in a Nothofagus pumilio forest in Puyehue National Park, southern Chile","Antillanca, PNP",-40.783333,-72.216666
Spectral Properties Observations in Lakes of a Chilean National Park,Chaiquenes,-41.5594,-72.5432
Spectral Properties Observations in Lakes of a Chilean National Park,L1,-41.5494,-72.524
Spectral Properties Observations in Lakes of a Chilean National Park,L2,-41.5556,-72.5227
Spectral Properties Observations in Lakes of a Chilean National Park,L3,-41.5693,-72.5201
Spectral Properties Observations in Lakes of a Chilean National Park,L5,-41.6055,-72.4789
Spectral Properties Observations in Lakes of a Chilean National Park,L6,-41.6156,-72.4768
Spectral Properties Observations in Lakes of a Chilean National Park,L7,-41.6173,-72.4834
Spectral Properties Observations in Lakes of a Chilean National Park,L8,-41.6179,-72.5062
Spectral Properties Observations in Lakes of a Chilean National Park,L9,-41.6278,-72.5082
Spectral Properties Observations in Lakes of a Chilean National Park,L10,-41.6366,-72.5269
Spectral Properties Observations in Lakes of a Chilean National Park,L12,-41.585,-72.4284
Spectral Properties Observations in Lakes of a Chilean National Park,L15,-41.5994,-72.4116
Spectral Properties Observations in Lakes of a Chilean National Park,L16,-41.5685,-72.4277
Spectral Properties Observations in Lakes of a Chilean National Park,L17,-41.5843,-72.4157
Spectral Properties Observations in Lakes of a Chilean National Park,L18,-41.6165,-72.4476
Spectral Properties Observations in Lakes of a Chilean National Park,L19,-41.6171,-72.5536
Spectral Properties Observations in Lakes of a Chilean National Park,L20,-41.5866,-72.4918
Spectral Properties Observations in Lakes of a Chilean National Park,L21,-41.617,-72.5535
Spectral Properties Observations in Lakes of a Chilean National Park,Montana,-41.5702,-72.4214
Spectral Properties Observations in Lakes of a Chilean National Park,Precipicio,-41.5846,-72.4082
Spectral Properties Observations in Lakes of a Chilean National Park,Sargazo,-41.5125,-72.5951
Spectral Properties Observations in Lakes of a Chilean National Park,Triangulo,-41.588,-72.5365
Short-term effects of variable-density thinning on regeneration in hardwood-dominated temperate rainforests,Llancahue watershed ,-39.838889,-73.121667
Tree height distributions in the canopy of old-growth temperate rainforests of south-central Chile,Correntoso,-41.516388,-72.652783
Tree height distributions in the canopy of old-growth temperate rainforests of south-central Chile,Llancahue A,-39.839167,-73.129444
Tree height distributions in the canopy of old-growth temperate rainforests of south-central Chile,Llancahue B,-39.838611,-73.134167
Tree height distributions in the canopy of old-growth temperate rainforests of south-central Chile,Puyehue,-40.65,-72.183333
"NEW RECORD OF ROCK ART IN MOUNTAIN PASSES: PAREDON LUISA (COCHAMO, REGION DE LOS LAGOS, CHILE)",Parerdon Luisa,-41.522283,-71.93695
"Managing the Risk Communication in a Health Emergency, The case of the eruption of the Calbuco Volcano, Chile 2015",Los Lagos region,,
"Association between trophic state, watershed use, and blooms of cyanobacteria in south-central Chile",Lago Ranco,40¡ 14',72¡ 23'
"Association between trophic state, watershed use, and blooms of cyanobacteria in south-central Chile",Lago Puyehue,40¡ 10',72¡ 28'
"Association between trophic state, watershed use, and blooms of cyanobacteria in south-central Chile",Lago Rupanco,40¡ 50',72¡ 26'
"Association between trophic state, watershed use, and blooms of cyanobacteria in south-central Chile",Lago Llanquihue,41¡ 08',72¡ 47'
