Article Title,Publication Type,Authors,Source Title,Keywords used,Area of study,Study location,Objective,Methodology,Process,Study object,Publication Year,Volume,Issue,Start Page,End Page,DOI,UT (Unique WOS ID)
Variation in phytoplankton pigment composition in relation to mixing conditions in temperate South-Central Chilean lakes,J,"Van de Vyver, E; Van Wichelen, J; Vanormelingen, P; Van Nieuwenhuyze, W; Daveloose, I; De Jong, R; De Blok, R; Urrutia, R; Tytgat, B; Verleyen, E; Vyverman, W",LIMNOLOGICA,Close area,Freshwater biodiversity,4 regions,"relate the abundance of the major algal groups to mixing conditions, light availability and the trophic condition of South-Central Chilean lakes.",Field collection,Chemical composition,Lakes,2019,79,,,,10.1016/j.limno.2019.125715,WOS:000498822200005
"Genetic Diversity, Population Structure, and Migration Scenarios of the Marsupial Monito del Monte in South-Central Chile",J,"Valladares-Gomez, A; Celis-Diez, JL; Sepulveda-Rodriguez, C; Inostroza-Michael, O; Hernandez, CE; Palma, RE",JOURNAL OF HEREDITY,Close area,Ecosystem functioning and services,VPRNP,analyzed the genetic variation of the “Monito del Monte” along the distributional range in south-central Chile by performing a microsatellite screening,Field collection,Genetic variation,Dromiciops,2019,110,6,651,661,10.1093/jhered/esz049,WOS:000493110700002
The Impacts of Native Forests and Forest Plantations on Water Supply in Chile,J,"Alvarez-Garreton, C; Lara, A; Boisier, JP; Galleguillos, M",FORESTS,Close area,Hydrology,5 regions,potential effectsof land cover changes on water supply,,runoff,runoff,2019,10,6,,,10.3390/f10060473,WOS:000475305000013
New theoretical approaches to the commodity-regions from the political ecology,J,"Bustos-Gallardo, B; Prieto, M",EURE-REVISTA LATINOAMERICANA DE ESTUDIOS URBANO REGIONALES,Close area,Social-ecological,2 regions,"Revisit the concept of “commodity-regions” and problematize it from the perspective of political ecology, based on four dimensions (production, boom and crisis cycles, materiality of commoditized nature, and identity)",Discussion,Political-ecology,People,2019,45,135,153,176,10.4067/S0250-71612019000200153,WOS:000466320000008
Southward invasion of Craspedacusta sowerbii across mesotrophic lakes in Chile: geographical distribution and genetic diversity of the medusa phase,J,"Fuentes, R; Cardenas, L; Abarzua, A; Caputo, L",FRESHWATER SCIENCE,Close area,Freshwater biodiversity,3 regions,Invasion of freshwater jellyfish,Genetic analysis,Invasion,Craspedacusta,2019,38,1,193,202,10.1086/701772,WOS:000463819900016
"Association between trophic state, watershed use, and blooms of cyanobacteria in south-central Chile",J,"Almanza, V; Pedreros, P; Laughinghouse, HD; Felez, J; Parra, O; Azocar, M; Urrutia, R",LIMNOLOGICA,Close area,Freshwater biodiversity,5 regions,variables that influence the abundance of natural populations of planktonic cyanobacteria in temperate lakes ,,Invasion,Cyanobacteria,2019,75,,30,41,10.1016/j.limno.2018.11.004,WOS:000463821500004
Development of 26-year-old mixed forests following different regeneration cutting treatments in Andean temperate rainforests of south-central Chile,J,"Donoso, PJ; Schlegel, BC; Salas-Eljatib, C; Donoso, C",FOREST ECOLOGY AND MANAGEMENT,Close area,Ecosystem functioning and services,Adjacent to AANP,Evaluate the development of second-growth forests during the first 26?years after cutting,Field experiment,Regeneration,Native forest,2019,432,,686,693,10.1016/j.foreco.2018.10.004,WOS:000455068700067
"NEW RECORD OF ROCK ART IN MOUNTAIN PASSES: PAREDON LUISA (COCHAMO, REGION DE LOS LAGOS, CHILE)",J,"Moya, F; Sierralta, S; Gutierrez, R",MAGALLANIA,Close area,Arqueological,Adjacent to AANP,new record of rock art,Field survey,Iconography,Rock art,2019,47,2,175,182,,WOS:000508010600011
Tree height distributions in the canopy of old-growth temperate rainforests of south-central Chile,J,"Oyarzun, A; Donoso, PJ; Gutierrez, AG",BOSQUE,Close area,Ecosystem functioning and services,Adjacent to PNP,explain canopy structure in old-growth temperate evergreen rainforests ,,Succession,Evergreen trees,2019,40,3,355,364,10.4067/S0717-92002019000300355,WOS:000502985300011
Old-growth Index: a tool to evaluate developmental stages in native forests in the lowlands of south-central Chile,J,"Ponce, DB; Donoso, PJ; Salas-Eljatib, C",BOSQUE,Close area,Ecosystem functioning and services,3 regions,"Applied an old-growth forest index based on Acker et al., to the lowland forests of south-central Chile",Field survey,Succession,Native forest,2019,40,2,235,240,10.4067/S0717-92002019000200235,WOS:000480332400013
"Managing the Risk Communication in a Health Emergency, The case of the eruption of the Calbuco Volcano, Chile 2015",J,"Bouquillard, LD",REVISTA ESPANOLA DE COMUNICACION EN SALUD,Close area,Social-ecological,Los Lagos Region,diminish the risks of health for people and communities exposed to the eruption,Communicational strategy ,A preventive and informative strategy,People,2019,10,1,94,101,10.20318/recs.2019.4443,WOS:000472974600011
The 2010-2015 Megadrought and its influence on the fire regime in central and south-central Chile,J,"Gonzalez, ME; Gomez-Gonzalez, S; Lara, A; Garreaud, R; Diaz-Hormazabal, I",ECOSPHERE,Close area,Climate,More than 5 regions,Investigate the effect of the 2010–2015 Megadrought (MD)compared to 1990–2009 period on fire activity in central and south-central Chile ,Modeling,Fire activity,Fire database,2018,9,8,,,10.1002/ecs2.2300,WOS:000448271400002
Genetic variability in Aegorhinus superciliosus (Coleoptera: Curculionidae) populations in Chilean Maytenus boaria (Celastrales: Celastraceae),J,"Huala, L; Paredes, M; Salazar, L; Elgueta, M; Rebolledo, R",REVISTA COLOMBIANA DE ENTOMOLOGIA,Close area,Species,3 regions, Evaluate the genetic variability within A. superciliosus populations associated with Maytenus boaria.,Field collection,Genetic variability,Aegorhinus,2018,44,2,260,265,10.25100/socolen.v44i2.7327,WOS:000454926300015
Spectral characterization of Didymosphenia geminata under laboratory conditions: bases for a monitoring and early warning system in river systems of south central Chile,J,"Esse, C; Fustos, I; Gonzalez, K; Aguayo, C; Encina-Montoya, F; Figueroa, D; Lara, G; Navarro, C",MANAGEMENT OF BIOLOGICAL INVASIONS,Close area,Freshwater biodiversity,Andes of Los Rios Region,Evaluate the potential of remote detection techniques to obtain a spectral characterization of D. geminata under controlled laboratory conditions,Field collection,Invasion,Didymosphenia,2018,9,2,85,90,10.3391/mbi.2018.9.2.02,WOS:000438779800002
Climate variability and forest fires in central and south-central Chile,J,"Urrutia-Jalabert, R; Gonzalez, ME; Gonzalez-Reyes, A; Lara, A; Garreaud, R",ECOSPHERE,Close area,Climate,More than 5 regions,Evaluate the relationship between fire occurrence (number and burned area) and climate variability (precipitation and maximum temperatures) across central and south-central Chile(32°–43°S) during recent decades (1976–2013,Correlations,Climate change,Fires,2018,9,4,,,10.1002/ecs2.2171,WOS:000435729400004
Topsoil removal through scarification improves natural regeneration in high-graded Nothofagus old-growth forests,J,"Soto, DP; Puettmann, KJ",JOURNAL OF APPLIED ECOLOGY,Close area,Ecosystem functioning and services,Andes of Los Rios Region,Investigate the    effectiveness of   topsoil removal as   a  restoration technique in high- graded Nothofagus old-    growth forests in   the    Chilean Andes,Field experiment,Succession,Soil,2018,55,2,967,976,10.1111/1365-2664.12989,WOS:000424881800049
Assessment of the ecosystem service of water regulation under scenarios of conservation of native vegetation and expansion of forest plantations in south-central Chile,J,"Jullian, C; Nahuelhual, L; Mazzorana, B; Aguayo, M",BOSQUE,Close area,Hydrology,Andes of Los Rios Region,Analyze the changes in the magnitude of the ecosystem service of water regulation under future scenarios of LUC at watershed scale,Modeling,LULC,Precipitation,2018,39,2,277,289,10.4067/S0717-92002018000200277,WOS:000441763600010
Evidence that emergent Nothofagus dombeyi do not depress carbon sequestration rates of canopy species in an old-growth Chilean temperate forest,J,"Parada, T; Lusk, CH; Donoso, PJ",NEW ZEALAND JOURNAL OF BOTANY,Close area,Ecosystem functioning and services,PNP,Determine if wood production—and hence carbon sequestration—of the emergent Nothofagus  dombeyi is additive to that of the canopy species,dendrochronology,Growth,Nothofagus,2018,56,3,311,322,10.1080/0028825X.2018.1482928,WOS:000440750000006
Review of erosion dynamics along the major N-S climatic gradient in Chile and perspectives,J,"Carretier, S; Tolorza, V; Regard, V; Aguilar, G; Bermudez, MA; Martinod, J; Guyot, JL; Herail, G; Riquelme, R",GEOMORPHOLOGY,Close area,Climate,More than 5 regions,Review studies about the effect of harvesting on erosion rates over the last centuries,Review of literature,Erosion,Database records,2018,300,,45,68,10.1016/j.geomorph.2017.10.016,WOS:000418981700004
Cranial morphological variation of Dromiciops gliroides (Microbiotheria) along its geographical distribution in south-central Chile: A three-dimensional analysis,J,"Valladares-Gomez, A; Celis-Diez, JL; Palma, RE; Manriquez, GS",MAMMALIAN BIOLOGY,Close area,Species,3 regions,Evaluated if the cranial morphology of this marsupial shows a pattern of variation congruent with its phylogeographic structure previously observed,Field collection,Phylogeography,Dromiciops,2017,87,,107,117,10.1016/j.mambio.2017.07.003,WOS:000418474100013
Particulate matter in urban areas of south-central Chile exceeds air quality standards,J,"Molina, C; Toro, R; Morales, RGE; Manzano, C; Leiva-Guzman, MA",AIR QUALITY ATMOSPHERE AND HEALTH,Close area,Environmental conditions,More than 5 regions,Air quality evaluation in urban centers,Field collection,Pollution,Particulate matter,2017,10,5,653,667,10.1007/s11869-017-0459-y,WOS:000401630200011
"Invasive aquatic plants presents in Chile: Distribution, traits of life and invasive potential",J,"Urrutia, J; Sanchez, P; Pauchard, A; Hauenstein, E",GAYANA BOTANICA,Close area,Freshwater biodiversity,More than 5 regions,generate baseline information about invasive aquatic plants,Review of literature,Invasion,Aquatic plants,2017,74,1,147,157,,WOS:000424541900013
Light and nitrogen interact to influence regeneration in old-growth Nothofagus-dominated forests in south-central Chile,J,"Soto, DP; Jacobs, DF; Salas, C; Donoso, PJ; Fuentes, C; Puettmann, KJ",FOREST ECOLOGY AND MANAGEMENT,Close area,Ecosystem functioning and services,Andes of Los Rios Region,interactive effects of light with other resources such as water and nutrients is relatively scarce,Field experiment,Growth,Nothofagus,2017,384,,303,313,10.1016/j.foreco.2016.11.016,WOS:000390727600031
Spatially explicit modelling of the impacts of land-use and land-cover change on nutrient inputs to an oligotrophic lake,J,"Fuentes, R; Leon-Munoz, J; Echeverria, C",INTERNATIONAL JOURNAL OF REMOTE SENSING,Close area,Hydrology,Adjacent to PNP,How land-use and land-cover (LULC) changes could alter the nutrient input to oligotrophic lakes,spatially explicit model,LULC,Lakes,2017,38,24,7531,7550,10.1080/01431161.2017.1339928,WOS:000412547100005
Native forest loss in the Chilean biodiversity hotspot: revealing the evidence,J,"Miranda, A; Altamirano, A; Cayuela, L; Lara, A; Gonzalez, M",REGIONAL ENVIRONMENTAL CHANGE,Close area,Ecosystem functioning and services,More than 5 regions,Understand variability of LULC over the entire range of the hotspot in Chile,Review of literature,LULC,Native forest,2017,17,1,285,297,10.1007/s10113-016-1010-7,WOS:000394157300022
Fire History and Fire Regimes Shifts in Patagonian Temperate Forests,S,"Mundo, IA; Holz, A; Gonzalez, ME; Paritsis, J",DENDROECOLOGY: TREE-RING ANALYSES APPLIED TO ECOLOGICAL STUDIES,Close area,Ecosystem functioning and services,More than 5 regions,Fire history reconstruction,dendrochronology,LULC,Native forest,2017,231,,211,229,10.1007/978-3-319-61669-8_9,WOS:000445137000011
Seasonal Variability in Precipitation in Central and Southern Chile: Modulation by the South Pacific High,J,"Barrett, BS; Hameed, S",JOURNAL OF CLIMATE,Close area,Environmental conditions,Chile and Argentina,exploring the seasonalrelationship between precipitation and weighted-averagesea level pressures over a large region of the South Pacific,Modeling,Seasonal variability,Temperature records,2017,30,1,55,69,10.1175/JCLI-D-16-0019.1,WOS:000391855700005
Streamflow variability in the Chilean Temperate-Mediterranean climate transition (35 degrees S-42 degrees S) during the last 400 years inferred from tree-ring records,J,"Munoz, AA; Gonzalez-Reyes, A; Lara, A; Sauchyn, D; Christie, D; Puchi, P; Urrutia-Jalabert, R; Toledo-Guerrero, I; Aguilera-Betti, I; Mundo, I; Sheppard, PR; Stahle, D; Villalba, R; Szejner, P; LeQuesne, C; Vanstone, J",CLIMATE DYNAMICS,Close area,Hydrology,3 regions,streamflow reconstruction,dendrochronology,Climate,watershed,2016,47,12,4051,4066,10.1007/s00382-016-3068-9,WOS:000389605700025
Does site quality affect the additive basal area phenomenon? Results from Chilean old-growth temperate rainforests,J,"Donoso, PJ; Soto, DP",CANADIAN JOURNAL OF FOREST RESEARCH,Close area,Ecosystem functioning and services,Adjacent to AANP,Does site quality affect the additive basal area phenomenon,Field survey,Growth,Evergreen trees,2016,46,11,1330,1336,10.1139/cjfr-2016-0167,WOS:000386675600009
Long term climatic trends in chile and effects on soli moisture and temperature regimes,J,"Stolpe, N; Undurraga, P",CHILEAN JOURNAL OF AGRICULTURAL RESEARCH,Close area,Climate,More than 5 regions,changes in soil characteristics due to climate changes in the past ,Modeling,Past climate change,Temperature records,2016,76,4,,,10.4067/S0718-58392016000400013,WOS:000395392600013
Firewood demand and energy policy in south-central Chile,J,"Schueftan, A; Sommerhoff, J; Gonzalez, AD",ENERGY FOR SUSTAINABLE DEVELOPMENT,Close area,Environmental conditions,Valdivia,strategies for lowering emissions from household wood combustion and their effectiveness in reducing air contamination,Survey,Pollution,Household combution,2016,33,,26,35,10.1016/j.esd.2016.04.004,WOS:000381696600003
PRESENCE OF THE PERUVIAN PELICAN PELECANUS THAGUS IN SEABIRD COLONIES OF CHILEAN PATAGONIA,J,"Cursach, JA; Rau, JR; Vilugron, J",MARINE ORNITHOLOGY,Close area,Species,Adjacent to AANP,presence of the pelicans in seabird colonies,Field survey,Behavior,Bird species,2016,44,1,27,30,,WOS:000456306900005
Differential growth rates through the seedling and sapling stages of two Nothofagus species underplanted at low-light environments in an Andean high-graded forest,J,"Donoso, PJ; Soto, DP; Fuentes, C",NEW FORESTS,Close area,Ecosystem functioning and services,Andes of Los Rios Region,Evaluate the performance of two Nothofagus during the seedling and sapling stages,Field experiment,Growth,Nothofagus,2015,46,5-6,885,895,10.1007/s11056-015-9480-x,WOS:000363253900015
Effects of riparian forest management on Chilean mountain in-stream characteristics,J,"Guevara, G; Godoy, R; Boeckx, P; Jara, C; Oyarzun, C",ECOHYDROLOGY & HYDROBIOLOGY,Close area,Hydrology,Andes of Los Rios Region,Effects of riparian forest management on mountain in-stream characteristics,Field collection,runoff,Streams,2015,15,3,160,170,10.1016/j.ecohyd.2015.07.003,WOS:000360990300006
ENVIRONMENTAL CONFLICTS AND COLLECTIVE ACTION AMONG YOUNG PEOPLE OF LOS LAGOS REGION (CHILE),J,"Cadiz, PC; Torres, R",REVISTA COLOMBIANA DE CIENCIAS SOCIALES,Close area,Social-ecological,Los Lagos Region,"characterize the connection between environmental conflicts, and political and civic involvement of young people",Interview,Collective action,People,2015,6,2,253,277,,WOS:000376301700004
Proposals to enhance thermal efficiency programs and air pollution control in south-central Chile,J,"Schueftan, A; Gonzalez, AD",ENERGY POLICY,Close area,Environmental conditions,Valdivia,new strategies to reduce air pollution,Survey,Pollution,People,2015,79,,48,57,10.1016/j.enpol.2015.01.008,WOS:000350074200005
"POLITICAL ECOLOGY OF DISASTERS: VULNERABILITY, SOCIO-TERRITORIAL EXCLUSION AND VOLCANIC ERUPTIONS IN CHILEAN PATAGONIA",J,"Toledo, HR; Aravena, HR",MAGALLANIA,Close area,Social-ecological,More than 5 regions,"how vulnerability, and social and territorial exclusion, contributes to the generation of socio-natural disasters",Review of literature,Social vulnerability,People,2015,43,3,7,26,,WOS:000371715400002
Tree-fall gaps and patterns of tree recruitment and growth in Andean old-growth forests in south-central Chile,J,"Gonzalez, ME; Donoso, PJ; Szejner, P",BOSQUE,Close area,Ecosystem functioning and services,Andes of Los Rios Region,determine main tree-fall gap attributes and to assess tree recruitment and growth patterns in tree-fall gaps ,Field survey,Regeneration,Forest,2015,36,3,383,394,10.4067/S0717-92002015000300006,WOS:000365679300006
Biomass stock and potential energy for the dendroenergy development based on native forests of south-central Chile,J,"Altamirano, A; Schlegel, B; Thiers, O; Miranda, A; Pilquinao, B; Orrego, R; Rocha, C",BOSQUE,Close area,Ecosystem functioning and services,3 regions,"assessed the biomass availability from native forests, considering biomass extraction based on silvicultural management ",Simulations,Regeneration,Forest,2015,36,2,223,237,10.4067/S0717-92002015000200008,WOS:000359781000008
"Cross-sectional study to investigate the presence of salmon pancreas disease virus in wild and feral fish populations in 10 lakes, Los Lagos Region, Chile",J,"Alegria, R; Arriagada, G; Urcelay, S; Hamilton-West, C",JOURNAL OF FISH DISEASES,Close area,Freshwater biodiversity,Adjacent to VPRNP,presence ofsalmon pancreas disease virus in wild and feral fishpopulations,Sampling stations,Epidemiological,Salmonids,2015,38,1,113,119,10.1111/jfd.12217,WOS:000346580400014
"Episodic bamboo die-off, neighbourhood interactions and tree seedling performance in a Patagonian mixed forest",J,"Caccia, FD; Kitzberger, T; Chaneton, EJ",JOURNAL OF ECOLOGY,Close area,Ecosystem functioning and services,"Neuquen, Argentina",bamboo dieback interacts with canopy neigh-bourhood composition in creating recruitment microsites for tree seedling species,Transplant experiment,Growth,Nothofagus,2015,103,1,231,242,10.1111/1365-2745.12349,WOS:000350547200023
Modelling dominant height and site index in different edaphoclimatic zones of Nothofagus dombeyi secondary forest in the Andes of south-central Chile,J,"Esse, C; Donoso, PJ; Gerding, V; Navarro, C; Encina-Montoya, F",SOUTHERN FORESTS,Close area,Ecosystem functioning and services,3 regions,Construct dominant tree height functions and site index curves for secondary forests of Nothofagus dombeyi ,Field survey,Growth,Nothofagus,2014,76,4,221,228,10.2989/20702620.2014.956026,WOS:000344390700006
Reduction of firewood consumption by households in south-central Chile associated with energy efficiency programs,J,"Schueftan, A; Gonzalez, AD",ENERGY POLICY,Close area,Environmental conditions,Valdivia,characterize energy consumption in dwellings of this region,Survey,Pollution,People,2013,63,,823,832,10.1016/j.enpol.2013.08.097,WOS:000330085400085
Early performance of planted Nothofagus dombeyi and Nothofagus alpina in response to light availability and gap size in a high-graded forest in the south-central Andes of Chile,J,"Donoso, PJ; Soto, DP; Coopman, RE; Rodriguez-Bertos, S",BOSQUE,Close area,Ecosystem functioning and services,Andes of Los Rios Region,"Report the first experience with plantations  under  canopy  gaps  in  high-graded  forests  in  the  Chilean  Andes,  where  the  aim  is  to  rehabilitate  Nothofagus-dominated  forests  that  were  once  characteristic  of  this region",Field experiment,Growth,Nothofagus,2013,34,1,23,32,10.4067/S0717-92002013000100004,WOS:000317413600004
A review of Tertiary climate changes in southern South America and the Antarctic Peninsula. Part 2: continental conditions,J,"Le Roux, JP",SEDIMENTARY GEOLOGY,Close area,Climate,Chile and Argentina,Continental conditions of Tertiary climate changes in southern South America and the Antarctic Peninsula,Review of literature,Past climate change,Regional subdivision,2012,247,,21,38,10.1016/j.sedgeo.2011.12.001,WOS:000301634800002
Madden-Julian Oscillation (MJO) Modulation of Atmospheric Circulation and Chilean Winter Precipitation,J,"Barrett, BS; Carrasco, JF; Testino, AP",JOURNAL OF CLIMATE,Close area,Climate,Chile,Exploreing the links between precipitation and circulation on a global and regional scale,Modeling,Climate,Spatial proyection,2012,25,5,1678,1688,10.1175/JCLI-D-11-00216.1,WOS:000301315200017
Dietary analysis of Diplomystes (Siluriformes: Diplomystidae) from Chile,J,"Beltran-Concha, M; Munoz-Ramirez, C; Ibarra, J; Habit, E",GAYANA,Close area,Freshwater biodiversity,More than 5 regions,analyze the stomach content of individuals of Diplomystes,Electric fishing,Feeding,Fishes,2012,76,2,102,111,10.4067/S0717-65382012000300003,WOS:000312465200003
Early response of tree regeneration after Chusquea culeou (Bambuceae) dieback in Andean old-growth forests of south-central Chile,J,"Munoz, AA; Gonzalez, ME; Celedon, C; Veblen, TT",BOSQUE,Close area,Ecosystem functioning and services,Andes of Los Rios Region,evaluated the bamboo dieback effect on tree species establishment and advance regeneration growth in two old-growth forests,Field experiment,Succession,Chusquea,2012,33,2,153,162,10.4067/S0717-92002012000200005,WOS:000307788200005
Surveillance and Control of the Sirex Woodwasp: The Chilean Experience,B,"Beeche, M; Lanfranco, D; Zapata, M; Ruiz, C",SIREX WOODWASP AND ITS FUNGAL SYMBIONT: RESEARCH AND MANAGEMENT OF A WORLDWIDE INVASIVE PEST,Close area,Ecosystem functioning and services,More than 5 regions,Chilean experience relating to the surveillance and control of S. noctilio ,Review of literature,Invasion,Woodwasp,2012,,,229,245,10.1007/978-94-007-1960-6_17,WOS:000301511200017
Effects of aspect and type of competition on the early performance of Nothofagus dombeyi and Nothofagus nervosa in a mixed plantation,J,"Donoso, PJ; Munoz, AA; Thiers, O; Soto, DP; Donoso, C",CANADIAN JOURNAL OF FOREST RESEARCH-REVUE CANADIENNE DE RECHERCHE FORESTIERE,Close area,Ecosystem functioning and services,Andes of Los Rios Region,evaluation of performance of two species of nothofagus according to aspect and type of competition,Field survey,Regeneration,Nothofagus,2011,41,5,1075,1081,10.1139/X11-019,WOS:000291446400015
